Word,Label
nâng_cấp_nhẹ,6
rất_ít_sự_khác_biệt,2
không_có_sự_khác_biệt_gì_quá_nhiều,2
giữ_nguyên,2
khó_để_nhận_ra_sự_khác_biệt,2
không_có_quá_nhiều_sự_khác_biệt,2
tốt_hơn,6
mạnh_mẽ_bật_nhất_hiện_nay,3
cao_hơn,6,7
hơi_thấp_một_chút,7
cao_hơn_rất_nhiều,6
dung_lượng_khá_khiêm_tốn,7
hầu_như_không_nhận_được_nâng_cấp_nào_về_phần_cứng,2
hoàn_toàn_vượt_trội,6
nhỏ_nhất,4,5
khá_hơn,6
tuyệt_vời_nhất_trên_thị_trường,3
hiếm_có_chiếc_điện_thoại_nào_trên_thị_trường_có_thể_làm_được,1
lớn_nhất_trong_Galaxy_S20_Series_vừa_ra_mắt,5
nâng_cao_hơn,6
đầm_tay_hơn,6
đẹp_nhất_hiện_nay,3
giảm_bớt,8
đỡ_bị_cảm_ứng_nhầm_hơn_rất_nhiều,6
mạnh_mẽ_nhất_của_Samsung,3
lớn_hơn,6
nhiều_tính_năng_vượt_trội_hơn,6
rẻ_hơn,6
nổi_bật_nhất_trong_dòng_Galaxy_A,3
không_có_sự_khác_biệt_lớn,2
mỏng_nhẹ_hơn,6
nhiều_hơn,6
Đều_được_sử_dụng,2
sắc_nét_hơn,6
tương_tự,2
đều_sở_hữu,2
khác_biệt,1
hiện_đại_hơn,6
đều_sử_dụng,2
đều_có,2
tương_tự_nhau,2
thấp_hơn,7
giống_như,2
nhỏ_gọn_hơn,6,8
đáng_sở_hữu_nhất,3
đáng_sở_hữu_nhất_trong_năm_2020,3
đáng_để_lựa_chọn_nhất,3
đều_là_những_chiếc_smartphone_trang_bị_camera_tốt_nhất_hiện_nay,2
ngang_ngửa,2
tương_đối_tốt_ở_cả_hai_máy,2
giữ_màu_tốt_hơn,6
hơn_một_chút,6
sấp_sỉ_nhau,2
nhỉnh_hơn_một_chút,6
tương_đối_giống_nhau,2
cùng_trọng_lượng_với_nhau,2
nặng_nhất,3
nặng_hơn,6,7,8
đều_được_làm_bằng,2
đều_được_trang_bị,2
Không_có_sự_thay_đổi_lớn,2
có_phần_trội_hơn,6
gấp_đôi,6
Không_có_sự_thay_đổi,2
đều_được_nâng_cấp_với_chip_xử_lý_A13_Bionic,2
nhanh_hơn_30%,6
sự_thay_đổi_đáng_kể,1
nâng_cấp_nhiều_hơn_nữa,6
nâng_cấp_chất_lượng_pin_hơn,6
đều_trang_bị,2
được_giữ_nguyên,2
rộng_hơn,6,8
cao_cấp_nhất_của_Samsung,3
như,2
nhiều_chức_năng_thực_dụng_hơn,6
tương_đương,2
tốt_nhất_hiện_nay,3
tốt_hơn_nhiều,6
có_lợi_thế,6
có_một_khoảng_cách,1
đều_có_thể,2
lợi_thế_hơn,6
nhỏ_hơn,6,7
lâu_hơn,6
trên_kèo,6
tốt_nhất,3
khả_năng_chụp_ảnh_tốt_nhất,3
vượt_trội_hơn_hẳn,6
vượt_trội_hơn,6
đẹp_nhất_thời_điểm_hiện_tại,3
lớn_nhất_từ_trước_đến_nay,5
đẹp_nhất_hiện_tại,3
tốt_nhất_của_DisplayMate,3
lớn_hơn,6
dung_lượng_lớn_hơn,6
khác_biệt_rõ_ràng,1
có_sự_thống_nhất_với_nhau,2
tương_đương_nhau,2
đều_mang_đến,2
"nhẹ_,_hẹp_và_ngắn_hơn",6
tỏa_sáng_hơn,6
chi_tiết_hơn_nhiều,6
tốt_hơn,6
thấp_hơn,7
lợi_thế,6
đều_được_trang_bị,2
chiếm_ưu_thế,6
tiết_kiệm_so_với,6
đều_được_tran_bị,2
đều_được_sử_dụng_chip_Snapdragon_8_Gen_2_mới_nhất_của_Qualcomm_với_các_lõi_được_ép_xung,2
không_giống_như,1
đánh_bại,6
nhỏ_và_độ_phân_giải_thấp_hơn,7
chậm_hơn_10_-_20%,7
mát_hơn,6
ổn_định_hơn,6
Chiến_thắng,6
chi_tiết_hơn,6
ấm_hơn,6
thu_hút_hơn,6
lợi_thế,6
được_đánh_giá_cao_hơn,6
được_nâng_cấp,6
đều_được_hỗ_trợ,2
tiết_kiệm_hơn,6
tăng_20%,6
nhiều_lợi_ích_hơn,6
mạnh_mẽ_nhất_trên_điện_thoại_hiện_đại,3
tiên_tiến_nhất,3
"bỏ_xa_mọi_Android_hoặc_iPhone_,_bao_gồm_cả_Galaxy_S23_+",6
sáng_hơn,6,8
linh_hoạt_hơn_nhiều,6
Đều_là_những_chiếc_smartphone_dành_cho_người_dùng_trẻ,2
đều_cho,2
thiếu,1
"""_nhỉnh_""_hơn",6
như_nhau,2
đều_mang_trên_mình,2
đều_rất_phù_hợp,2
