,Input sentence,isComparative
0,"Title: Review iPhone 14: Thiết kế, hiệu năng, camera và pin",0
1,"iPhone 14 được ra mắt vào 09/2022, được đánh giá là chỉ nâng cấp nhẹ về phần cứng cũng như phần mềm so với thế hệ trước.",1
2,Về ngoại hình thì cũng có rất ít sự khác biệt so với thế hệ tiền nhiệm.,1
3,"Có một vài ý kiến trái chiều cho rằng, phiên bản iPhone 14 này không có điểm gì nổi bật, thậm chí còn cho rằng không nên bỏ tiền ra nâng cấp hoặc mua.",0
4,Thực tế khi mua hoặc nâng cấp một thiết bị di động bạn thường quan tâm đến những yếu tố nào?,0
5,"Thiết kế, hiệu năng, camera và pin hay đơn giản hơn chỉ là thương hiệu?",0
6,Mặc dù đây không được đánh giá là chiếc iPhone tốt nhất trong tầm giá nhưng lại là chiếc Smartphone cân bằng giữa nhiều yếu tố.,0
7,"Hãy cùng Mobileworld review iPhone 14, qua bài viết bên dưới nhé!",0
8,alt:,0
9,des:,0
10,Thiết kế đẹp mắt nhưng không có sự khác biệt,0
11,"Nhìn chung, về thiết kế của iPhone 14 thì không có sự khác biệt gì quá nhiều so với phiên bản tiền nhiệm là iPhone 13.",1
12,"Mặt lưng máy được vát phẳng, phần khung viền thì được thiết kế vuông vức và bo cong nhẹ nhàng giúp tăng tính mềm mại nhưng vẫn giữ được sự sang trọng, cao cấp vốn có.",0
13,"Thực tế khi trải nghiệm iPhone 14 thì cho người dùng cảm giác cầm nắm khá chắc chắn, đầm tay và rất thoải mái.",0
14,"Nhìn tổng thể, thì với kích thước như vậy là khá tối ưu, không quá nhỏ cũng không quá to, dù tay bạn lớn hay nhỏ thì cũng có thể cầm nắm được dễ dàng.",0
15,"Tương tự, thì hệ thống camera vẫn giữ nguyên thiết kế với 2 camera được đặt chéo nhau và được làm nhô lên so với mặt lưng của máy.",1
16,Phần mô-đun chứa cụm camera được làm trong suốt nhằm tăng sự đồng bộ nhưng vẫn nổi bật.,0
17,Chính giữa mặt sau là nơi đặt logo quả táo quen thuộc thường thấy.,0
18,"So với iPhone 13, thì rất khó để nhận ra sự khác biệt giữa 2 thế hệ này qua vẻ bề ngoài, thậm chí ngay cả những phần mềm bên trong cũng không có quá nhiều sự khác biệt.",1
19,Trừ khi bạn mua 2 màu khác nhau còn nếu không thì sẽ rất khó để nhận ra.,0
20,"Ngoài ra, chiếc máy còn được trang bị khả năng chống nước IP68, có nghĩa là thiết bị có khả năng kháng nước ở độ sâu khoảng 1.5m trong vòng 30 phút.",0
21,Bạn có thể selfie và sử dụng ở bể bơi mà không hề sợ bị hỏng máy.,0
22,"Mặc dù, đây cũng được xem là 1 điểm khá ấn tượng trên iPhone 13, nhưng mình khuyên bạn không nên thử điều này với chiếc máy.",0
23,Hiệu năng ấn tượng trên iPhone 14,0
24,"iPhone 14 được nhà sản xuất sử dụng chipset A15 Bionic được nhà Táo sản xuất dựa trên tiến trình 5nm, có 6 nhân, trong đó 4 nhân là 1.82 GHz Blizzard Avalanche và 2 nhân là 3.23 GHz. Bên cạnh đó, chiếc máy còn được trang bị Apple GPU (5-core graphics) giúp xử lý hình ảnh và video được tốt hơn.",1
25,"Mặc dù, không được Apple trang bị chipset mới nhất nhưng A15 Bionic cũng là một bộ vi xử lý mạnh mẽ bật nhất hiện nay.",1
26,"Bên cạnh đó, iPhone 14 được nâng cấp bộ nhớ lên đến 6GB RAM cao hơn iPhone 13 đến 2GB RAM, cho khả năng đa nhiệm tốt hơn.",1
27,Thực sự thì đa nhiệm trên dòng iPhone được rất nhiều người đánh giá là tốt hơn so với dòng Smartphone khác trên thị trường.,1
28,Bạn có thể mở nhiều tác vụ cùng lúc và chuyển qua lại giữa chúng mà không cần phải tải lại.,0
29,Khi nhìn vào thông số thì bạn sẽ khó nhận biết được sức mạnh của chiếc máy.,0
