,content,NER,label
1296,"Mặc dù vậy , hỗ trợ sạc không còn như xưa nữa .","[0, 0, 0, 0, 5, 6, 6, 7, 8, 8, 8, 0, 0]",1
4023,"Còn với vivo iQOO Pro 5G mới được ra mắt sau này , tuy có nhiều nâng cấp nhưng vẫn chưa thực sự vượt mặt được Vodafone 735 , chiếc điện thoại này chỉ sở hữu camera góc siêu rộng 50MP , với camera góc siêu rộng 5MP có góc chụp lên đến 123 độ , camera macro 2MP và cảm biến chiều sâu 2MP .","[0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
1653,Nokia 6600i slide đều có thể kết quả và có lượng RAM 8GB .,"[1, 2, 2, 7, 8, 8, 5, 6, 0, 0, 0, 5, 6, 0]",2
4060,Đáng tiếc là đục lỗ của alcatel Evolve 2 cũng có phần kém cạnh hơn một chút khi chỉ có dung lượng 4300 mAh .,"[0, 0, 0, 5, 6, 0, 1, 2, 2, 0, 0, 0, 7, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0]",7
4734,Dù độ phân giải không chênh lệch mấy những vì tùy chọn bộ nhớ Sony Ericsson T600 to hơn nên mất độ điểm ảnh chỉ khoảng 400 ppi .,"[0, 5, 6, 6, 7, 8, 8, 8, 0, 0, 5, 6, 6, 6, 1, 2, 2, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
1992,vivo y21 vẫn là chất lượng quang học tốt nhất của Samsung .,"[1, 2, 0, 0, 5, 6, 6, 6, 7, 8, 8, 8, 0]",3
3530,Vertu Constellation cũng có tỷ lệ màn hình trên thân máy lớn nhất trong Galaxy S20 Series vừa ra mắt .,"[1, 2, 0, 0, 5, 6, 6, 6, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 0]",5
3350,"Ngoài ra , còn một yếu tố nữa chính là việc chiếc HTC Touch HD T8285 là vẻ bề ngoài nhỏ nhất , đồng nghĩa với việc diện tích tản nhiệt cũng thấp hơn ; ít nhiều ảnh hưởng đến hiệu năng thuần của con chip .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 5, 6, 6, 7, 8, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
2132,alcatel OT 320 không chỉ cung cấp con chip snapdragon 778g mạnh mẽ nhất trên điện thoại hiện đại mà còn có cảm biến 200MP tiên tiến nhất .,"[1, 2, 2, 0, 0, 0, 0, 5, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 0, 0, 0, 5, 6, 6, 7, 8, 8, 0]",3
592,Thêm vào đó là một màn hình hiển thị đẹp hơn và lớn hơn cùng với phần cứng camera sau mạnh mẽ hơn là những lợi thế của Galaxy M51 .,"[0, 0, 0, 0, 0, 5, 6, 6, 6, 7, 8, 0, 7, 8, 0, 0, 5, 6, 6, 6, 7, 8, 8, 0, 0, 0, 0, 0, 1, 2, 0]",6
3948,Nhưng đổi lại Ulefone Armor X6 sẽ chiếm nhiều khả năng tái tạo hình ảnh hơn .,"[0, 0, 0, 1, 2, 2, 0, 7, 8, 5, 6, 6, 6, 6, 6, 8, 0]",7
2359,"Xét theo camera chính , Lava X17 là sản phẩm cao cấp nhất của Samsung .","[0, 0, 5, 6, 0, 1, 2, 0, 0, 0, 7, 8, 8, 8, 8, 0]",3
3542,Infinix Hot 4 Pro cũng có thời lượng hoạt động lớn nhất trong Galaxy S20 Series vừa ra mắt .,"[1, 2, 2, 2, 0, 0, 5, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 0]",5
1495,Đối với Unnecto Tap thì bông hoa cũng tương tự nhưng cổng sạc type-c lại không được xử lý như Celkon C7030 .,"[0, 0, 1, 2, 0, 5, 6, 0, 7, 8, 0, 5, 6, 6, 0, 7, 8, 8, 8, 8, 3, 4, 0]",1
3301,"Ngoài ra , còn một yếu tố nữa chính là việc chiếc alcatel OT-228 là bảo mật nâng cao khoá vân tay dưới màn hình nhỏ nhất , đồng nghĩa với việc diện tích tản nhiệt cũng thấp hơn ; ít nhiều ảnh hưởng đến hiệu năng thuần của con chip .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 8, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
4313,Về cơ bản thì Lenovo Vibe K5 Plus sẽ to hơn Amoi WMA8508 .,"[0, 0, 0, 0, 1, 2, 2, 2, 0, 7, 8, 3, 4, 0]",8
285,"Về mặt lý thuyết sẽ hoạt động tốt hơn vào ban đêm và bạn có khả năng thu phóng 3,2 lần .","[0, 0, 0, 0, 0, 7, 8, 8, 8, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
3753,"Nếu so với BenQ A3 , chắc chắn sẽ không thể bằng được về điểm số , bên cạnh đó , chiếc máy năm 2022 cũng chỉ được hỗ trợ Ram 4GB và bộ nhớ 128GB .","[0, 0, 0, 3, 4, 0, 0, 0, 0, 7, 8, 8, 8, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
2539,"Như bạn có thể thấy trong bài so sánh , iPhone 12 Pro và Galaxy Note 20 Ultra đồng hạng nhất , trong khi Samsung U100 đứng vị trí cuối cùng về khoản các bức ảnh chụp .","[0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 1, 2, 2, 0, 3, 4, 4, 4, 7, 8, 8, 0, 0, 0, 1, 2, 7, 8, 8, 8, 8, 0, 0, 5, 6, 6, 6, 0]",4
783,"Chất ảnh chụp ra trên các mạng xã hội nhìn chung là tốt , không bị bệt hay mất chi tiết như trên các thế hệ tiền nhiệm .","[5, 6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 8, 8, 0, 3, 4, 4, 4, 4, 0]",1
941,"Về cơ bản , chất lượng camera của hai máy đều mang đến những bức ảnh hấp dẫn người chụp .","[0, 0, 0, 0, 5, 6, 6, 0, 3, 4, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0]",2
2700,Motorola Moto Z4 đang là một trong những smartphone đắt nhất của Samsung .,"[1, 2, 2, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0]",4
3875,"Với cấu hình như vậy , Celkon C64 tuy không phải top đầu nhưng cũng vô cùng mạnh mẽ .","[0, 0, 0, 0, 0, 0, 1, 2, 0, 7, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0]",7
1672,"Về cấu hình của Samsung A31 và A51 , Samsung Galaxy Tab Active Pro đều được trang bị RAM 6GB và có khả năng chụp ảnh zoom , sự khác biệt chủ yếu đến từ bộ xử lý .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 7, 8, 8, 8, 5, 6, 0, 7, 5, 6, 6, 6, 6, 0, 0, 7, 8, 0, 0, 0, 0, 5, 6, 6, 0]",2
2730,"ZTE nubia M2 có 8 gb ram nhỏ nhất , từ đó có thể dự đoán được chất lượng ảnh chụp camera tele của iPhone 14 Pro Max .","[1, 2, 2, 0, 5, 6, 6, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
1684,Đi kèm thiết kế sánh ngang và thậm chí đánh bại Gigabyte GSmart Alto A2 trong một số trường hợp .,"[0, 0, 5, 6, 7, 8, 0, 0, 0, 7, 8, 3, 4, 4, 4, 0, 0, 0, 0, 0, 0]",2
1401,Điểm khác biệt lớn nhất mà chúng ta nhận thấy sẽ là ở chụp được các chi tiết cây cối .,"[7, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 6, 6, 6, 0]",1
3158,"Maxwest Astro JR là chiếc iPhone có chi tiết lớn nhất từ trước đến nay , và đây cũng là chiếc smartphone có chất lượng hiển thị đẹp nhất hiện tại , theo trang chuyên đánh giá chi tiết DisplayMate .","[1, 2, 2, 0, 0, 0, 0, 5, 6, 7, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 7, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
2161,"Trong LG Optimus 3D P920 , Samsung T639 có chất lượng camera thú vị nhất vì điện thoại này có màn hình không viền ấn tượng .","[0, 3, 4, 4, 4, 0, 1, 2, 0, 5, 6, 6, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
2850,O2 XDA IIi đang là một trong những smartphone đắt nhất của Samsung .,"[1, 2, 2, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0]",4
3340,"Ngoài ra , còn một yếu tố nữa chính là việc chiếc ZTE Blade III là tỷ lệ màn hình trên thân máy nhỏ nhất , đồng nghĩa với việc diện tích tản nhiệt cũng thấp hơn ; ít nhiều ảnh hưởng đến hiệu năng thuần của con chip .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 5, 6, 6, 6, 6, 6, 6, 7, 8, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
4804,Trong khi Lenovo P90 màu sắc sáng hơn .,"[0, 0, 1, 2, 5, 6, 7, 8, 0]",8
2313,"Cuối cùng , dù iPhone 12 Pro không phải là mẫu điện thoại có camera xuất sắc nhất hiện tại , thế nhưng rõ ràng là về mặt năm cập nhật và tính ổn định thì Toshiba 705T chắc chắn là một trong những sản phẩm tốt số 1 trong thế giới smartphone hiện nay .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 5, 6, 6, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 8, 8, 8, 0]",3
2374,BLU Grand X cao cấp nhất của thế giới Android hiện nay,"[1, 2, 2, 7, 8, 8, 8, 8, 8, 8, 8, 8]",3
4355,"Nhờ chipset mediatek dimensity 700 19,3 : 9 rộng hơn 20 : 9 trên Honor Holly 2 Plus .","[0, 5, 6, 6, 6, 0, 0, 0, 7, 8, 0, 0, 0, 0, 3, 4, 4, 4, 0]",8
1291,các nút vật lý dễ bấm là một trong những điểm khác biệt dễ thấy nhất giữa HTC One .,"[5, 6, 6, 6, 6, 6, 0, 7, 8, 8, 8, 8, 8, 8, 8, 8, 0, 1, 2, 0]",1
1552,Trong khi Lenovo IdeaTab A2107 thì ngược lại .,"[0, 0, 1, 2, 2, 0, 7, 8, 0]",1
2142,Trong khi Neonode N1m cũng là một trong những smartphone Android sở hữu nhiều antutu v8 hàng đầu .,"[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 7, 8, 0]",3
3467,"Ngoài ra , còn một yếu tố nữa chính là việc chiếc Samsung S7710 Galaxy Xcover 2 là soc nhỏ nhất , đồng nghĩa với việc diện tích tản nhiệt cũng thấp hơn ; ít nhiều ảnh hưởng đến hiệu năng thuần của con chip .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 5, 7, 8, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
2773,BLU Dash Music đang là một trong những smartphone đắt nhất của Samsung .,"[1, 2, 2, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0]",4
3785,"Với cấu hình như vậy , Sony Ericsson W980 tuy không phải top đầu nhưng cũng vô cùng mạnh mẽ .","[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 7, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0]",7
552,"Cạnh bên phải chứa nút nguồn cùng với phím tăng giảm âm lượng , chúng hơi dịch lên phía trên một chút so với các mẫu điện thoại khác .","[0, 0, 0, 0, 5, 6, 0, 0, 5, 6, 6, 6, 6, 0, 0, 7, 8, 8, 8, 8, 8, 8, 0, 0, 3, 4, 4, 4, 4, 0]",1
965,Đây chắc chắn là một cải tiến vô cùng quan trọng giúp cho trải nghiệm facetime và chụp ảnh selfie của người dùng trở nên tốt hơn phiên bản cũ .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 5, 6, 6, 0, 0, 0, 0, 0, 7, 8, 3, 4, 4, 0]",6
2155,"Acer Iconia Tab A3-A20 được đánh giá là chipset hàng đầu mạnh mẽ , ổn định nhất của Qualcomm ở thời điểm hiện tại .","[1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0]",3
2950,Samsung E1252 đang là một trong những smartphone đắt nhất của Samsung .,"[1, 2, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0]",4
2653,"Karbonn K65 Buzz có mức giá niêm yết nhỏ nhất , từ đó có thể dự đoán được chất lượng ảnh chụp camera tele của iPhone 14 Pro Max .","[1, 2, 2, 0, 5, 6, 6, 6, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
349,"Galaxy Note 9 là mẫu điện thoại từng được xếp vào hàng cao cấp nhất năm 2018 , thế nên không quá khó hiểu vì sao mẫu máy này lại sở hữu nhiều đặc tính cho đến nay vẫn được xem là cao cấp trong thiết kế như mặt lưng kính , khung viền nhôm , cảm biến vân tay , chuẩn kháng nước IP68 và biểu tượng đặc trưng của dòng Note nhà Samsung : Bút S-Pen .","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
1962,"Còn về phía Nokia 603 , thiết bị này không chỉ có màu tốt nhất , mà còn sở hữu một camera goc siêu rộng cũng gần như là “ bá đạo ” nhất trong cả ba .","[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 5, 7, 8, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 8, 8, 8, 8, 8, 8, 0, 3, 4, 0]",3
